"C Taki Tachibana", ("Cabelo castanho"; "Olhos azuis"; "Uniforme escolar"; "Sapatos pretos"), 0.92
"C Sanji", ("Cabelo loiro"; "Olhos pretos"; "Camisa preta"; "Sapatos pretos"; "Gravata"; "Cigarro"), 0.71
"C Shouyou Hinata", ("Cabelo ruivo"; "Olhos castanhos"; "Unifome de time"; "Sapatos brancos"), 0.91
"C Leone", ("Cabelo loiro"; "Olhos amarelos"; "Top preto"; "Botas marrons"; "Garras de leão"), 0.71
"S Sandálias", ("Cabelo branco"; "Macacão branco"), 0.22
"C Ryou Asuka", ("Cabelo loiro"; "Olhos azuis"; "Camisa branca"; "Sapatos marrons"; "Colete bege"), 0.70
"C Hiro", ("Cabelo preto"; "Olhos azuis"; "Uniforme escolar"; "Botas marrons"; "Chifre"), 0.96
"C Erza Scarlet", ("Cabelo ruivo"; "Olhos castanhos"; "Roupa branca"; "Botas pretas"; "Espada"; "Cinto"), 0.87
"C King", ("Cabelo castanho"; "Olhos castanhos"; "Roupa azul"; "Botas azuis"), 0.87
"C Goblin Slayer", ("Capacete"; "Armadura"; "Espada"; "Anti-goblins"), 0.86
"S Cabelo preto", ("Sapatos pretos"), 0.35
"S Sapatos azuis", ("Olhos pretos"; "Cabelo preto"; "Roupa laranja"), 0.32
"C Eren Yeager", ("Cabelo marrom"; "Olhos verdes"; "Jaqueta militar"; "Botas pretas"; "Capa verde"; "Distintivo da Tropa de Exploração"), 0.89
"C Mikasa Ackerman", ("Cabelo preto"; "Olhos cinzas"; "Jaqueta militar"; "Botas pretas"; "Lenço"; "Distintivo da Tropa de Exploração"), 0.72
"C Kazuma Satou", ("Cabelo castanho"; "Olhos verdes"; "Camisa branca"; "Botas marrons"; "Capa verde"), 0.80
"C Haise Sasaki", ("Cabelo branco"; "Olhos cinzas"; "Roupa branca"; "Sapatos marrons"; "Espada"; "Gravata"), 0.73
"C Jet Black", ("Careca"; "Olhos pretos"; "Macacão azul"; "Botas de metal"; "Braço robótico"), 0.87
"C Kurapika", ("Cabelo loiro"; "Olhos castanhos"; "Roupa azul"; "Sapatos azuis"; "Correntes"), 0.84
"C Yuusaku Kitamura", ("Cabelo azul"; "Olhos azuis"; "Uniforme escolar"; "Sapatos pretos"), 0.93
"C Natsu Dragneel", ("Cabelo rosa"; "Olhos pretos"; "Roupa preta"; "Sandálias"; "Pulseiras"; "Cachecol"), 0.75
"C Arataka Reigen", ("Cabelo loiro"; "Olhos castanhos"; "Terno cinza "; "Sapatos pretos"; "Gravata rosa"), 0.70
"C Satoru Fujinuma", ("Cabelo preto"; "Olhos pretos"; "Uniforme escolar"; "Sapatos pretos"; "Óculos"), 0.79
"C Lalatina Dustiness Ford", ("Cabelo loiro"; "Olhos azuis"; "Armadura"; "Botas brancas"; "Espada"), 0.85
"S Cabelo verde", ("Botas marrons"), 0.25
"C Ami Kawashima", ("Cabelo azul"; "Olhos azuis"; "Uniforme escolar"; "Sapatos marrons"), 0.88
"C Emilia", ("Cabelo branco"; "Olhos roxos"; "Roupa branca"; "Botas brancas"; "Prisilha de cabelo"), 0.98
"S Olhos castanhos", ("Correntes"), 0.08
"S Manto Touro", ("Sapatos vermelhos"; "Cachecol"; "Jaqueta marrom"; "Muitos doces"; "Camisa preta"), 0.05
"C Shouto Todoroki", ("Cabelo vermelho/branco"; "Olhos cinza/vermelho"; "Uniforme escolar"; "Fogo e gelo"; "Traje de super-herói"), 0.82
"C Kyouko Hori", ("Cabelo marrom"; "Olhos dourados"; "Uniforme escolar"; "Sapatos marrons"; "Ligeiramente masoquista"), 0.96
"C Power", ("Cabelo loiro"; "Olhos amarelos"; "Camisa branca"; "Tênis"; "Jaqueta azul"; "Gravata"), 0.98
"C Gray Fullbuster", ("Cabelo preto"; "Olhos pretos"; "Sem camisa"; "Sapatos pretos"; "Corrente"; "Cinto"), 0.75
"C Ban", ("Cabelo azul"; "Olhos vermelhos"; "Camisa vermelha"; "Sapatos vermelhos"), 0.81
"C Anna Liebert", ("Cabelo loiro"; "Olhos azuis"; "Roupa branca"), 0.90
"C Ryouta Watari", ("Cabelo marrom"; "Olhos castanhos"; "Uniforme escolar"; "Sapatos marrons"; "Gravata vermelha"), 0.95
"S Olhos rosa", ("Cabelo rosa"; "Yandere"), 0.13
"C Nine", ("Cabelo preto"; "Olhos castanhos"; "Camisa branca"; "Sapatos pretos"; "Óculos"), 0.85
"C C.C.", ("Cabelo verde"; "Olhos dourados"; "Roupa branca"; "Sapatos brancos"), 1.00
"C Karma Akabane", ("Cabelo vermelho"; "Olhos amarelos"; "Terno preto"; "Sapatos pretos"; "Revólver"), 0.91
"C Yukiteru Amano", ("Cabelo preto"; "Olhos azuis"; "Jaqueta marrom"; "Sapatos pretos"), 0.86
"C Kurisu Makise", ("Cabelo ruivo"; "Olhos azuis"; "Jaqueta marrom"; "Sapatos pretos"; "Jaleco"; "Flip phone"), 0.86
"C Souma Yukihira", ("Cabelo vermelho"; "Olhos amarelos"; "Dólmã"; "Sapatos pretos"; "Faca"; "Chapéu de Chef"), 0.80
"C Haru Yoshida", ("Cabelo preto"; "Olhos pretos"; "Camisa bege"; "Sapatos bege"; "Gravata"; "Colete vermelho"), 0.99
"S Cabelo ruivo", ("Sapatos vermelhos"), 0.31
"S Cachecol branco", ("Olhos azuis"), 0.34
"C Minori Kushieda", ("Cabelo rosa"; "Olhos rosas"; "Uniforme escolar"; "Sapatos marrons"; "Prisilha de cabelo"), 0.78
"S Super hacker", ("Gravata preta"; "Olhos amarelos"; "Duas espadas"; "Jaleco"; "Laço"), 0.09
"C Tobio Kageyama", ("Cabelo preto"; "Olhos azuis"; "Unifome de time"; "Sapatos brancos"), 0.81
"C Asuna Yuuki", ("Cabelo castanho"; "Olhos castanhos"; "Uniforme branco e vermelho"; "Botas brancas"; "Florete"), 0.73
"C Hideki Hinata", ("Cabelo azul"; "Olhos azuis"; "Jaqueta bege"; "Sapatos marrons"; "Armas de fogo"), 0.79
"C Lelouch Lamperouge", ("Cabelo preto"; "Olhos roxos"; "Roupa preta"; "Sapatos pretos"; "Geass"), 0.82
"S Top amarelo", ("Olhos verdes"; "Cabelo preto"), 0.49
"C Light Yagami", ("Cabelo marrom"; "Olhos castanhos"; "Terno"; "Sapatos pretos"; "Death Note"; "Óculos"), 0.77
"C Inosuke Hashibira", ("Cabelo preto"; "Olhos azuis"; "Sem camisa"; "Sandálias"; "Katana"; "Cabeça de javali"), 0.98
"C Mitsuki Nase", ("Cabelo preto"; "Olhos vermelhos"; "Camisa azul"; "Sapatos pretos"; "Meias pretas"), 0.89
"C Kusuo Saiki", ("Cabelo rosa"; "Olhos roxos"; "Camisa branca"; "Sapatos azuis"; "Colete verde"; "Óculos"), 0.80
"C Miki Makimura", ("Cabelo preto"; "Olhos pretos"; "Camisa branca"; "Sapatos pretos"; "Touca"; "Bandana"), 0.75
"C Ryouta Suzui", ("Cabelo castanho"; "Olhos castanhos"; "Roupa vermelha"; "Sapatos marrons"; "Compulsão por apostas"), 0.79
"C Gowther", ("Cabelo rosa"; "Olhos castanhos"; "Camisa rosa"; "Botas vermelhas"; "Corrente"), 0.72
"C Haruhi Fujioka", ("Cabelo castanho"; "Olhos castanhos"; "Roupa azul"; "Sapatos pretos"; "Gravata"; "Broche"), 0.77
"S Uniforme escolar", ("Sapatos marrons"), 0.19
"C Nami", ("Cabelo ruivo"; "Olhos castanhos"; "Camisa branca"; "Botas marrons"; "Bastão"), 0.81
