"C Saitama", ("Careca"; "Olhos pretos"; "Roupa amarela"; "Botas vermelhas"), 0.79
"S Botas azuis", ("Cabelo azul"), 0.40
"C Yuzuru Otonashi", ("Cabelo castanho"; "Olhos castanhos"; "Jaqueta bege"; "Sapatos marrons"; "Armas de fogo"), 0.81
"C Ginshi Shirazu", ("Cabelo ruivo"; "Olhos pretos"; "Roupa preta"; "Sapatos pretos"; "Espada"; "Colete marrom"), 0.91
"C Chrome", ("Cabelo castanho"; "Olhos castanhos"; "Macacão verde"; "Sandálias"; "Headband"), 1.00
"C Kenjirou Shibazaki", ("Cabelo preto"; "Olhos pretos"; "Camisa branca"; "Sapatos pretos"; "Gravata"), 0.85
"C Lucy Heartfilia", ("Cabelo loiro"; "Olhos castanhos"; "Camisa azul"; "Botas marrons"; "Bolsa"; "Chicote"), 0.97
"S Braço robótico", ("Botas de metal"), 0.15
"C Noelle Silva", ("Cabelo cinza"; "Olhos roxos"; "Manto Touro"; "Sandálias"), 0.80
"C Aren Kuboyasu", ("Cabelo roxo"; "Olhos pretos"; "Camisa verde"; "Sapatos pretos"; "Óculos"), 0.74
"C Yato", ("Cabelo preto"; "Olhos azuis"; "Jaqueta preta"; "Sapatos pretos"; "Cachecol branco"), 0.84
"C L Lawliet", ("Cabelo preto"; "Olhos pretos"; "Camisa branca"; "Descalço"; "Muitos doces"), 0.94
"C Kokomi Teruhashi", ("Cabelo azul"; "Olhos azuis"; "Camisa branca"; "Sapatos marrons"; "Meias pretas"; "Laço"), 0.95
"C Okuyasu Nijimura", ("Cabelo preto"; "Olhos pretos"; "Roupa azul"; "Sapatos verdes"; "Cinto"), 0.73
"C All Might", ("Cabelo loiro"; "Olhos azuis"; "One for all"; "Traje de super-herói"), 0.90
"S Cachecol vermelho", ("Cabelo preto"; "Botas pretas"), 0.39
"S Botas pretas", ("Olhos pretos"), 0.36
"C Akihito Kanbara", ("Cabelo loiro"; "Olhos castanhos"; "Camisa branca"; "Sapatos brancos"; "Gravata"; "Colete azul"), 0.73
"C Shouko Nishimiya", ("Cabelo rosa claro"; "Olhos castanhos"; "Uniforme escolar"; "Sapatos marrons"; "Deficiência auditiva"), 0.78
"C Izuku Midoriya", ("Cabelo verde"; "Olhos verdes"; "Uniforme escolar"; "One for all"; "Traje de super-herói"), 0.78
"C Chitoge Kirisaki", ("Cabelo loiro"; "Olhos azuis"; "Camisa branca"; "Sapatos marrons"; "Fita laranja"; "Orelhas"), 0.90
"C Kokoro", ("Cabelo cinza"; "Olhos azuis"; "Uniforme escolar"; "Botas marrons"), 0.84
"C Charlés", ("Cabelo rosa"; "Olhos castanhos"; "Camisa preta"; "Sapatos pretos"; "Gravata"; "Presilha"), 0.78
"S Cabelo cinza", ("Sapatos pretos"), 0.12
"S Roupa azul", ("Sapato vermelho"; "Olhos castanhos"), 0.36
"C Norman", ("Cabelo branco"; "Olhos azuis"; "Roupa branca"; "Sapatos brancos"), 0.82
"C Ryuuji Takasu", ("Cabelo azul"; "Olhos pretos"; "Uniforme escolar"; "Sapatos marrons"; "Cachecol vermelho"), 1.00
"S Olhos laranja", ("Jaqueta azul"; "Chapéu de formatura"; "Máscara de couro"), 0.50
"S Colete bege", ("Avatar em ALfheim Online"; "Relógio"), 0.40
"S Olhos castanhos", ("Sandálias"; "Macacão verde"), 0.43
"C Yuuki Konno", ("Cabelo roxo"; "Olhos roxos"; "Vestido roxo"; "Botas roxas"), 0.70
"S Tuturu", ("Botas pretas"; "Vestido azul"), 0.19
"C Haku", ("Cabelo preto"; "Olhos verdes"; "Macacão branco"; "Sandálias"; "Dragão"), 0.85
"S Sapatos pretos", ("Roupa azul"; "Broche"; "Gravata"), 0.46
"S Bandana", ("Olhos azuis"; "Sapatos pretos"; "Roupa marrom"), 0.13
"C Akira Fudou", ("Cabelo preto"; "Olhos castanhos"; "Camisa preta"; "Sapatos pretos"; "Gravata"), 0.92
"S Maleta", ("Sapatos pretos"), 0.33
"S Botas brancas", ("Cabelo rosa"; "Olhos azuis"), 0.09
"C Sakuta Azusagawa", ("Cabelo castanho"; "Olhos castanhos"; "Camisa branca"; "Sapatos marrons"; "Cicatriz no peito"; "Jaqueta marrom"), 0.96
"C Hiyori Iki", ("Cabelo preto"; "Olhos roxos"; "Uniforme escolar"; "Botas pretas"; "Cachecol vermelho"), 0.91
"S Tênis", ("Uniforme escolar"), 0.20
"C Kallen Stadtfeld", ("Cabelo rosa"; "Olhos azuis"; "Roupa marrom"; "Sapatos pretos"; "Bandana"), 0.70
"C Shigeo Kageyama", ("Cabelo preto"; "Olhos pretos"; "Uniforme escolar"; "Sapatos brancos"), 0.85
"C Mayuri Shiina", ("Cabelo preto"; "Olhos azuis"; "Vestido azul"; "Botas pretas"; "Tuturu"), 0.75
"C Katsuki Bakugou", ("Cabelo loiro"; "Olhos vermelhos"; "Uniforme escolar"; "Manoplas em formato de granada"; "Traje de super-herói"), 0.70
"C Shouya Ishida", ("Cabelo preto"; "Olhos pretos"; "Camisa marrom"; "Sapatos marrons"; "Gravata"), 0.84
"S Botas com propulsores", ("Trevo preto"; "Kimono rosa"; "Manto Touro"), 0.31
"C Yamcha", ("Cabelo preto"; "Olhos pretos"; "Roupa laranja"; "Sapatos azuis"; "Pulseiras"), 0.91
"C Kaori Miyazono", ("Cabelo loiro"; "Olhos azuis"; "Uniforme escolar"; "Sapatos marrons"; "Violinista"), 0.91
"C Kaoru Hitachiin", ("Cabelo ruivo"; "Olhos castanhos"; "Roupa azul"; "Sapatos pretos"; "Gravata"; "Broche"), 0.96
"C Tanjirou Kamado", ("Cabelo preto"; "Olhos vermelhos"; "Roupa preta"; "Sandálias"; "Jaqueta verde e preta"; "Katana"), 0.80
"C Mai Sakurajima", ("Cabelo cinza"; "Olhos roxos"; "Camisa branca"; "Sapatos marrons"; "Roupa de coelho"; "Jaqueta marrom"), 0.85
"C Mitsuru", ("Cabelo verde"; "Olhos verdes"; "Uniforme escolar"; "Botas marrons"), 0.92
"C Orihime Inoue", ("Cabelo ruivo"; "Olhos castanhos"; "Roupa branca"; "Sapatos pretos"; "Capa"), 0.82
"C Sora", ("Cabelo ruivo"; "Olhos vermelhos"; "Camisa amarela"; "Sapatos vermelhos"), 0.77
"C Hiroomi Nase", ("Cabelo preto"; "Olhos verdes"; "Camisa preta"; "Sapatos pretos"; "Colete azul"; "Cachecol"), 0.85
"C Nona", ("Cabelo branco"; "Olhos roxos"; "Camisa branca"; "Sandálias"; "Habilidades em sinuca"), 0.76
"S Cabelo azul", ("Uniforme escolar"), 0.16
"C Shino Asada", ("Cabelo preto"; "Olhos pretos"; "Uniforme escolar"; "Sapatos pretos"; "Óculos"), 0.89
"C Yuu Ishigami", ("Cabelo preto"; "Olhos pretos"; "Uniforme escolar"; "Sapatos brancos"; "Tesoureiro do Conselho Estudantil"), 0.76
"S Sapatos pretos", ("Pilota uma Eva-Unit"), 0.40
"C Yuno", ("Cabelo preto"; "Olhos amarelos"; "Manto bege"; "Botas pretas"), 0.88
"C Mitsukuni Haninozuka", ("Cabelo loiro"; "Olhos castanhos"; "Roupa azul"; "Sapatos pretos"; "Gravata"; "Coelho de pelúcia"), 0.75
"C Satoru Gojou", ("Cabelo branco"; "Olhos azuis"; "Roupa azul"; "Sapatos pretos"; "Venda nos olhos"), 0.73
"S Sapatos marrons", ("Capa azul"; "Chapéu de feiticeiro"; "Olhos brancos"), 0.11
"S Olhos castanhos", ("Gravata rosa"; "Terno cinza "), 0.21
"C Luffy Monkey D.", ("Cabelo preto"; "Olhos pretos"; "Camisa vermelha"; "Sandálias"; "Chapéu"), 0.84
"C Shougo Makishima", ("Cabelo branco"; "Olhos amarelos"; "Camisa branca"; "Humanista"), 0.70
"S Jaqueta verde", ("Cabelo loiro"; "Gorro verde"), 0.44
"C Mako Mankanshoku", ("Cabelo castanho"; "Olhos castanhos"; "Camisa branca"; "Sapatos marrons"; "Lenço"; "Meia branca"), 0.81
"C Yuri Nakamura", ("Cabelo roxo"; "Olhos azuis"; "Uniforme escolar"; "Sapatos pretos"; "Armas de fogo"), 0.94
"S Garras de leão", ("Top preto"), 0.27
"S Uniforme escolar", ("Gravata "; "Cachecol vermelho"), 0.38
"C Suguha Kirigaya", ("Cabelo preto"; "Olhos pretos"; "Uniforme escolar"; "Sapatos marrons"; "Avatar em ALfheim Online"), 0.80
"C Takashi Morinozuka", ("Cabelo preto"; "Olhos pretos"; "Roupa azul"; "Sapatos pretos"; "Gravata"; "Broche"), 0.95
"C Franky", ("Cabelo azul"; "Olhos pretos"; "Camisa vermelha"; "Corrente"; "Óculos"), 0.72
"C Yuuji Itadori", ("Cabelo rosa"; "Olhos castanhos"; "Roupa azul"; "Sapato vermelho"; "Dedos de Sukuna"), 0.71
"C Touka Kirishima", ("Cabelo roxo"; "Olhos roxos"; "Roupa roxa"; "Botas pretas"; "Máscara"; "Transformação Ghoul"), 0.74
"C Megumi Tadokoro", ("Cabelo azul"; "Olhos amarelos"; "Dólmã"; "Sapatos pretos"; "Faca"; "Chapéu de Chef"), 0.86
"S Olhos castanhos", ("Cabelo castanho"; "Roupa azul"), 0.31
"C Yasutora Sado", ("Cabelo castanho"; "Olhos castanhos"; "Camisa azul"; "Sapatos brancos"; "Escudo"), 0.97
"S Cabelo preto", ("Olhos amarelos"), 0.18
"S Botas pretas", ("Roupa branca"; "Olhos azuis"), 0.05
"C Decim", ("Cabelo branco"; "Olhos azuis"; "Uniforme bartender"; "Sapatos pretos"), 0.94
"S Botas marrons", ("Gordo"; "Olhos verdes"; "Uniforme escolar"), 0.18
"C Suzaku Kururugi", ("Cabelo marrom"; "Olhos verdes"; "Roupa branca"; "Botas pretas"; "Capa azul"; "Luvas pretas"), 0.95
"C Naruto Uzumaki", ("Cabelo loiro"; "Olhos azuis"; "Roupa laranja"; "Sandálias"; "Modo sábio"; "Bandana"), 0.84
"C Megumi Fushiguro", ("Cabelo preto"; "Olhos azuis"; "Roupa azul"; "Sapatos marrons"; "Uniforme escolar"), 0.88
"C Leorio Paladiknight", ("Cabelo preto"; "Olhos castanhos"; "Roupa azul"; "Sapatos pretos"; "Óculos"; "Maleta"), 0.95
"C Mine", ("Cabelo rosa"; "Olhos rosas"; "Uniforme escolar"; "Sapatos brancos"; "Prisilha de cabelo"; "Rifle de assalto"), 0.77
"C Taiju Ooki", ("Cabelo castanho"; "Olhos castanhos"; "Macacão bege"; "Sandálias"; "Cicatriz no olho"), 0.78
"C Miyuki Shirogane", ("Cabelo loiro "; "Olhos azuis"; "Uniforme escolar"; "Sapatos brancos"; "Presidente do Conselho Estudantil"; "Olheiras"), 0.84
"C Lisa Mishima", ("Cabelo preto"; "Olhos castanhos"; "Camisa amarela"; "Sapatos azuis"; "Meias azuis"), 0.87
"C Chopper Tony Tony", ("Olhos pretos"; "Camisa listrada"; "Capacete azul"; "Mochila azul"), 0.78
"C Megumin", ("Cabelo castanho"; "Olhos vermelhos"; "Vestido vermelho"; "Botas marrons"; "Explosão"; "Chapéu de feiticeiro"), 0.89
"C Tatsumi", ("Cabelo marrom"; "Olhos verdes"; "Roupa marrom"; "Botas marrons"; "Espada"), 0.85
"S Olhos pretos", ("Sapatos marrons"), 0.31
"C Kayo Hinazuki", ("Cabelo preto"; "Olhos castanhos"; "Uniforme escolar"; "Botas marrons"; "Cachecol amarelo"), 0.79
"C Rohan Kishibe", ("Cabelo verde"; "Olhos verdes"; "Roupa roxa"; "Sapatos verdes"; "Colete verde"; "Bandana"), 0.84
"C Erina Nakiri", ("Cabelo loiro "; "Olhos roxos"; "Dólmã"; "Sapatos pretos"; "Faca"; "Chapéu de Chef"), 0.98
"C Ryuuko Matoi", ("Cabelo preto"; "Olhos roxos"; "Camisa preta"; "Sapatos brancos"; "Lenço"; "Luvas"), 0.81
"C Nezuko Kamado", ("Cabelo preto"; "Olhos rosa"; "Kimono rosa"; "Sandálias"; "Fita rosa"; "Bambu na boca"), 0.95
"C Shinichi Izumi", ("Cabelo castanho"; "Olhos castanhos"; "Uniforme escolar"; "Sapatos pretos"), 0.79
"C Kakashi Hatake", ("Cabelo branco"; "Olhos pretos"; "Roupa verde"; "Sandálias"; "Sharingan"; "Bandana"), 0.85
"S Camisa branca", ("Olhos azuis"), 0.34
"C Wendy Marvell", ("Cabelo azul"; "Olhos castanhos"; "Roupa verde"; "Sandálias"; "Orelhas"), 0.83
"C Mirai Kuriyama", ("Cabelo rosa"; "Olhos castanhos"; "Camisa azul"; "Sapatos marrons"; "Colete rosa"; "Óculos"), 0.92
"C Jousuke Higashikata", ("Cabelo roxo"; "Olhos azuis"; "Roupa preta"; "Sapatos roxos"; "Brincos"; "Bolsa"), 0.80
"S Sapatos marrons", ("Cabelo azul"; "Camisa branca"), 0.09
"C Usopp", ("Cabelo preto"; "Olhos pretos"; "Macacão marrom"; "Botas marrons"; "Bolsa marrom"; "Touca marrom"), 0.91
"C Rin Okumura", ("Cabelo preto"; "Olhos azuis"; "Camisa branca"; "Sapatos pretos"; "Katana"; "Chifre"), 0.76
"C Tsubaki Sawabe", ("Cabelo marrom"; "Olhos castanhos"; "Uniforme escolar"; "Sapatos marrons"), 0.86
"C Hikaru Hitachiin", ("Cabelo ruivo"; "Olhos castanhos"; "Roupa azul"; "Sapatos pretos"; "Gravata"; "Broche"), 0.90
"C Akame", ("Cabelo preto"; "Olhos vermelhos"; "Camisa preta"; "Sapatos pretos"; "Katana"), 0.99
"S Olhos verdes", ("Sapatos brancos"; "Roupa branca"), 0.40
"C Shinji Ikari", ("Cabelo castanho"; "Olhos azuis"; "Camisa branca"; "Tênis"; "Pilota uma Eva-Unit"; "Walkman"), 0.89
"C Rukia Kuchiki", ("Cabelo preto"; "Olhos roxos"; "Roupa preta"; "Sapatos brancos"; "Espada"; "Lenço"), 0.83
"S Olhos verdes", ("Botas marrons"), 0.12
"C Gon Freecss", ("Cabelo preto"; "Olhos pretos"; "Roupa verde"; "Botas pretas"), 0.75
"C Edward Wong Hau Pepelu Tivrusky IV", ("Cabelo vermelho"; "Olhos amarelos"; "Top branco"; "Computador"), 0.91
"C Kenzou Tenma", ("Cabelo preto"; "Olhos pretos"; "Camisa branca"; "Sapatos pretos"; "Colete cinza"; "Médico"), 0.74
"C Ochako Uraraka", ("Cabelo castanho"; "Olhos castanhos"; "Uniforme escolar"; "Poderes de gravidade"; "Traje de super-herói"), 0.96
"C Will A. Zeppeli", ("Cabelo preto"; "Olhos azuis"; "Terno branco"; "Sapatos pretos"; "Cachecol listrado"; "Top hat listrado"), 0.78
"C Aki Hayakawa", ("Cabelo preto"; "Olhos azuis"; "Terno"; "Tênis"; "Kon"; "Gravata"), 0.89
"S Bastão", ("Computador"; "Roupa verde"; "Transformação Ghoul"; "Fita vermelha no cabelo"; "Máscara de couro"), 0.37
"C Ray", ("Cabelo preto"; "Olhos pretos"; "Roupa branca"; "Sapatos brancos"), 0.88
"C Gorou", ("Cabelo loiro "; "Olhos castanhos"; "Uniforme escolar"; "Botas marrons"; "Óculos"), 0.72
"C Levi", ("Cabelo preto"; "Olhos verdes"; "Camisa cinza"; "Botas marrons"; "Capa verde"), 0.79
"C Nagisa Shiota", ("Cabelo azul"; "Olhos azuis"; "Uniforme escolar"; "Sapatos pretos"; "Faca"), 0.98
"C Violet Evergarden", ("Cabelo loiro"; "Olhos azuis"; "Vestido branco"; "Botas marrons"; "Jaqueta azul"; "Braços protéticos"), 0.86
"S Orelhas", ("Olhos castanhos"; "Sandálias"; "Roupa verde"), 0.07
"C Kouichi Hirose", ("Cabelo branco"; "Olhos azuis"; "Roupa verde"; "Sapatos bege"; "Mochila"), 0.90
"S Distintivo da Tropa de Exploração", ("Cabelo loiro"; "Lenço"), 0.14
"C Raku Ichijou", ("Cabelo roxo"; "Olhos roxos"; "Camisa branca"; "Sapatos brancos"; "Colete preto"; "Corrente"), 0.97
"S Olhos vermelhos", ("Sapatos marrons"), 0.48
"C Tooru Mutsuki", ("Cabelo verde"; "Olhos verdes"; "Roupa branca"; "Sapatos pretos"; "Faca"; "Tapa olhos"), 0.72
"C Joseph Joestar", ("Cabelo castanho"; "Olhos verdes"; "Camisa roxo"; "Botas pretas"; "Cachecol listrado"; "Marca Joestar"), 0.95
"C Spike Spiegel", ("Cabelo preto"; "Olhos castanhos"; "Terno preto"; "Sapatos pretos"), 0.90
"C Stephanie Dola", ("Cabelo ruivo"; "Olhos azuis"; "Vestido branco"; "Botas marrons"; "Flor azul no cabelo"), 0.94
"C Muten-Roushi", ("Careca"; "Camisa amarela"; "Sapatos azuis"; "Bastão"; "Óculos"), 0.82
"S Uniforme escolar", ("Cabelo preto"; "Tênis"), 0.19
"C Emma", ("Cabelo ruivo"; "Olhos verdes"; "Roupa branca"; "Sapatos brancos"), 0.72
"C Twelve", ("Cabelo castanho"; "Olhos castanhos"; "Camisa branca"; "Sapatos marrons"; "Relógio"; "Pulseiras"), 0.97
"C Shiro", ("Cabelo branco"; "Olhos vermelhos"; "Roupa roxa"; "Sapatos azuis"; "Coroa"), 0.88
"C Renji Abarai", ("Cabelo ruivo"; "Olhos castanhos"; "Roupa preta"; "Sandálias"; "Espada"; "Bandana"), 0.84
"C Akane Tsunemori", ("Cabelo castanho"; "Olhos castanhos"; "Jaqueta azul"; "Sapatos marrons"; "Dominator"; "Uniforme policial"), 0.74
"C Mary Saotome", ("Cabelo loiro"; "Olhos amarelos"; "Roupa vermelha"; "Sapatos marrons"; "Compulsão por apostas"), 0.85
"C Riki Nendou", ("Cabelo preto"; "Olhos pretos"; "Camisa laranja"; "Sapatos verdes"; "Colete verde"), 0.96
"C Makima", ("Cabelo ruivo"; "Olhos amarelos"; "Camisa branca"; "Sapatos marrons"; "Gravata"), 0.77
"C Kouichi Sakakibara", ("Cabelo castanho"; "Olhos castanhos"; "Uniforme escolar"; "Sapatos pretos"), 0.90
"C Yumeko Jabami", ("Cabelo preto"; "Olhos vermelhos"; "Roupa vermelha"; "Sapatos marrons"; "Compulsão por apostas"), 0.98
"C Rei Ayanami", ("Cabelo azul"; "Olhos vermelhos"; "Uniforme escolar"; "Sapatos brancos"; "Pilota uma Eva-Unit"), 0.77
"C Chihiro Ogino", ("Cabelo castanho"; "Olhos castanhos"; "Macacão vermelho"; "Sandálias"), 1.00
"C Jonathan Joestar", ("Cabelo azul"; "Olhos azuis"; "Camisa azul"; "Botas marrons"; "Cachecol roxo"; "Marca Joestar"), 0.87
"C Brook", ("Cabelo preto"; "Sapatos marrons"; "Jaqueta preta"; "Bengala"), 0.86
"C Johan Liebert", ("Cabelo loiro"; "Olhos azuis"; "Camisa preta"; "Sapatos pretos"; "Colete marrom"), 0.86
"C Ken Kaneki", ("Cabelo branco"; "Olhos pretos"; "Roupa preta"; "Botas pretas"; "Máscara de couro"; "Transformação Ghoul"), 0.70
"C Koro-sensei", ("Careca"; "Olhos brancos"; "Uniforme escolar"; "Chapéu de formatura"), 1.00
"S Dólmã", ("Vice-presidente do Conselho Estudantil"; "Roupa de coelho"; "Gravata vermelha"; "Óculos"), 0.35
"C Ritsu Kageyama", ("Cabelo azul"; "Olhos pretos"; "Uniforme escolar"; "Sapatos brancos"; "Maleta azul"), 0.87
"C Merlin", ("Cabelo preto"; "Olhos castanhos"; "Camisa azul"), 0.76
"C Bulma", ("Cabelo azul"; "Olhos azuis"; "Camisa branca"; "Botas amarelas"; "Lenço"; "Corrente"), 0.78
"S Uniforme escolar", ("Sapatos pretos"), 0.19
"C Saiko Yonebayashi", ("Cabelo azul"; "Olhos azuis"; "Roupa branca"; "Botas pretas"), 0.82
"C Taiga Aisaka", ("Cabelo castanho"; "Olhos castanhos"; "Uniforme escolar"; "Sapatos marrons"; "Lenço"), 0.86
"S Botas pretas", ("Cinto"; "Cabelo ruivo"), 0.07
"C Kosaki Onodera", ("Cabelo preto"; "Olhos castanhos"; "Camisa branca"; "Sapatos marrons"; "Meias brancas"; "Fita laranja"), 0.90
"S Top branco", ("Olhos amarelos"), 0.42
"C Misato Katsuragi", ("Cabelo roxo"; "Olhos castanhos"; "Vestido preto"; "Botas pretas"; "Jaqueta vermelha"), 0.86
"C Senkuu Ishigami", ("Cabelo branco"; "Olhos vermelhos"; "Macacão branco"; "Sandálias"; "Cicatriz no olho"), 0.83
"C Diane", ("Cabelo castanho"; "Olhos roxos"; "Roupa laranja"; "Botas laranja"), 0.88
